repository,condition,status,accepted,checks_passed,checks_expected,checks_failed,checks_not_measured,calls,repair_tokens,translation_calls,translation_tokens,end_to_end_calls,end_to_end_tokens,submissions,unknown_usage_calls
timeseries,repair,completed,True,69,69,0,0,26,5964670,3,163661,29,6128331,2,0
twotower,repair,completed,False,131,145,14,0,62,7967319,20,368368,82,8335687,4,0
timeseries,investigation,completed,True,69,69,0,0,18,3732497,3,163661,21,3896158,1,0
twotower,investigation,completed,False,131,145,14,0,59,8544178,20,368368,79,8912546,4,0
timeseries,handoff,completed,True,69,69,0,0,26,5883413,3,163661,29,6047074,2,0
twotower,handoff,completed,False,131,145,14,0,68,9187690,20,368368,88,9556058,4,0
timeseries,repository_context,completed,True,69,69,0,0,22,1772918,3,163661,25,1936579,1,0
twotower,repository_context,completed,False,131,145,14,0,80,9823072,20,368368,100,10191440,4,0
