layer,categories,instances,strict_success,strict_repair_rate,repair_at_1,repair_at_2,repair_at_4,median_rounds
execution,10,20,16,0.8,0.75,0.8,0.8,1.0
numerical,7,14,12,0.8571428571428571,0.7142857142857143,0.7857142857142857,0.8571428571428571,1.0
gradient_update,8,16,16,1.0,0.875,0.875,1.0,1.0
mixed,0,0,0,0.0,0.0,0.0,0.0,
overall,25,50,44,0.88,0.78,0.82,0.88,1.0
