repository,condition,status,accepted,checks_passed,checks_expected,checks_failed,checks_not_measured,calls,repair_tokens,translation_calls,translation_tokens,end_to_end_calls,end_to_end_tokens,submissions,unknown_usage_calls
timeseries,full,completed,True,69,69,0,0,30,1963239,3,163661,33,2126900,2,0
twotower,full,completed,False,131,145,14,0,80,9593135,20,368368,100,9961503,4,0
timeseries,no_automatic_map,completed,True,69,69,0,0,42,2487587,3,163661,45,2651248,2,0
twotower,no_automatic_map,completed,False,131,145,14,0,80,6803850,20,368368,100,7172218,4,0
