layer,categories,instances,strict_success,strict_repair_rate,repair_at_1,repair_at_2,repair_at_4,median_rounds
execution,10,20,16,0.8,0.65,0.7,0.8,1.0
numerical,7,14,9,0.6428571428571429,0.2857142857142857,0.6428571428571429,0.6428571428571429,2.0
gradient_update,8,16,12,0.75,0.75,0.75,0.75,1.0
mixed,0,0,0,0.0,0.0,0.0,0.0,
overall,25,50,37,0.74,0.58,0.7,0.74,1.0
