layer,categories,instances,strict_success,strict_repair_rate,repair_at_1,repair_at_2,repair_at_4,median_rounds
execution,10,20,19,0.95,0.85,0.95,0.95,1.0
numerical,7,14,12,0.8571428571428571,0.7857142857142857,0.8571428571428571,0.8571428571428571,1.0
gradient_update,8,16,16,1.0,1.0,1.0,1.0,1.0
mixed,0,0,0,0.0,0.0,0.0,0.0,
overall,25,50,47,0.94,0.88,0.94,0.94,1.0
