layer,categories,instances,strict_success,strict_repair_rate,repair_at_1,repair_at_2,repair_at_4,median_rounds
execution,10,20,17,0.85,0.75,0.75,0.85,1.0
numerical,7,14,13,0.9285714285714286,0.7857142857142857,0.9285714285714286,0.9285714285714286,1.0
gradient_update,8,16,16,1.0,0.875,1.0,1.0,1.0
overall,25,50,46,0.92,0.8,0.88,0.92,1.0
