scope,instances,strict_success,repair_rate,repair_at_1,median_rounds
candidate_level,26,26,1.0,1.0,1.0
core_autograd_optimizer,4,4,1.0,0.5,1.5
core_operator,20,16,0.8,0.6,1.0
