coupling,fault,model,seed,step,torch_status,torch4ms_status,torch_loss,torch4ms_loss,loss_abs_diff,loss_rel_diff,torch_grad_norm,torch4ms_grad_norm,grad_norm_abs_diff,grad_norm_rel_diff,param_update_rel_l2,param_update_cosine
teacher-forced,none,cnn,300,1,ok,ok,1.7791353464126587,1.7791353464126587,0.0,0.0,0.455242395401001,0.455242395401001,0.0,0.0,6.14264282723846e-07,0.9999999006108492
teacher-forced,none,cnn,300,2,ok,ok,1.7985033988952637,1.7985033988952637,0.0,0.0,0.45984259247779846,0.4598425626754761,2.9802322387695312e-08,6.480983465909411e-08,5.382799235664077e-07,1.0000001038930402
teacher-forced,none,cnn,300,3,ok,ok,1.7867379188537598,1.7867377996444702,1.1920928955078125e-07,6.671895653686983e-08,0.2865235209465027,0.2865235209465027,0.0,0.0,9.785077953864745e-07,0.9999999709251851
teacher-forced,none,cnn,300,4,ok,ok,1.8136589527130127,1.8136589527130127,0.0,0.0,0.466134250164032,0.46613427996635437,2.9802322387695312e-08,6.393505834809328e-08,4.474573075837533e-07,1.000000015491671
teacher-forced,none,cnn,300,5,ok,ok,1.8003966808319092,1.8003966808319092,0.0,0.0,0.4606854021549225,0.4606854021549225,0.0,0.0,8.396343426177062e-07,0.9999998667868456
teacher-forced,none,cnn,300,6,ok,ok,1.7975610494613647,1.7975610494613647,0.0,0.0,0.2937520742416382,0.29375210404396057,2.9802322387695312e-08,1.01453987826536e-07,6.341650937601036e-07,1.00000021548052
teacher-forced,none,cnn,300,7,ok,ok,1.7942981719970703,1.7942981719970703,0.0,0.0,0.45967555046081543,0.45967555046081543,0.0,0.0,8.369171755816713e-07,1.0000000761535455
teacher-forced,none,cnn,300,8,ok,ok,1.7780218124389648,1.7780219316482544,1.1920928955078125e-07,6.70460175034356e-08,0.453966349363327,0.4539663791656494,2.9802322387695312e-08,6.564874350930872e-08,4.587346794779076e-07,0.9999999447581478
teacher-forced,none,cnn,300,9,ok,ok,1.7829140424728394,1.7829139232635498,1.1920928955078125e-07,6.686205095195848e-08,0.45457133650779724,0.45457127690315247,5.960464477539063e-08,1.3112275233475534e-07,1.0645844681921208e-06,0.9999999868188837
teacher-forced,none,cnn,300,10,ok,ok,1.8171653747558594,1.8171653747558594,0.0,0.0,0.5864900946617126,0.5864900946617126,0.0,0.0,7.101572938908005e-07,0.9999999587919394
teacher-forced,none,cnn,300,11,ok,ok,1.794740915298462,1.7947406768798828,2.384185791015625e-07,1.328428950770947e-07,0.45893168449401855,0.45893168449401855,0.0,0.0,2.269313595381133e-07,1.0000000468559869
teacher-forced,none,cnn,300,12,ok,ok,1.799041509628296,1.7990413904190063,1.1920928955078125e-07,6.626266759982172e-08,0.2938443720340729,0.2938443720340729,0.0,0.0,4.754178138919782e-07,1.0000001256616953
teacher-forced,none,cnn,300,13,ok,ok,1.7849618196487427,1.7849618196487427,0.0,0.0,0.4558309316635132,0.4558309316635132,0.0,0.0,5.869230598744068e-07,0.9999999403276607
