package,source_files,local_files,source_bytes,local_bytes,match
A,6,6,285148,285148,true
B,6,6,621591,621591,true
C,7,7,3559090,3559090,true
D,68,68,384058406,384058406,true
E-final,13,13,91404,91404,true
E-MSA,47,47,133477,133477,true
E-T-HIER-fixed,157,157,928714,928714,true
G,268,268,49480364,49480364,true
H,1214,1214,41550484,41550484,true
I,1738,1738,36539596,36539596,true
J,6406,6406,30954943,30954943,true
K,123,123,3633096,3633096,true
