layer,categories,instances,strict_success,strict_repair_rate,repair_at_1,repair_at_2,repair_at_4,median_rounds
execution,10,20,14,0.7,0.65,0.7,0.7,1.0
numerical,7,14,6,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,1.0
gradient_update,8,16,12,0.75,0.625,0.625,0.75,1.0
mixed,0,0,0,0.0,0.0,0.0,0.0,
overall,25,50,32,0.64,0.58,0.6,0.64,1.0
