coupling,fault,model,seed,step,torch_status,torch4ms_status,torch_loss,torch4ms_loss,loss_residual,loss_abs_diff,loss_rel_diff,torch_grad_norm,torch4ms_grad_norm,grad_norm_abs_diff,grad_norm_rel_diff,param_update_rel_l2,param_update_cosine,torch_fixed_probe_loss,torch4ms_fixed_probe_loss,fixed_probe_loss_abs_diff,fixed_probe_loss_residual,torch_fixed_probe_displacement,torch4ms_fixed_probe_displacement
free-running,none,cnn,300,1,ok,ok,1.7791353464126587,1.7791353464126587,0.0,0.0,0.0,0.455242395401001,0.455242395401001,0.0,0.0,6.14264282723846e-07,0.9999999006108492,1.7953009605407715,1.795300841331482,1.1920928955078125e-07,-1.1920928955078125e-07,0.00083160400390625,0.0008317232131958008
free-running,none,cnn,300,2,ok,ok,1.7985033988952637,1.7985033988952637,0.0,0.0,0.0,0.45984259247779846,0.4598425626754761,2.9802322387695312e-08,6.480983465909411e-08,5.36490935094633e-07,1.0000001038930402,1.7963308095932007,1.7963306903839111,1.1920928955078125e-07,-1.1920928955078125e-07,0.00019824504852294922,0.00019812583923339844
free-running,none,cnn,300,3,ok,ok,1.7867379188537598,1.7867377996444702,-1.1920928955078125e-07,1.1920928955078125e-07,6.671895653686983e-08,0.2865235209465027,0.2865235209465027,0.0,0.0,1.0350768684229877e-06,1.000000022661659,1.7961225509643555,1.7961225509643555,0.0,0.0,1.0013580322265625e-05,1.0013580322265625e-05
free-running,none,cnn,300,4,ok,ok,1.8136589527130127,1.8136589527130127,0.0,0.0,0.0,0.466134250164032,0.46613427996635437,2.9802322387695312e-08,6.393505834809328e-08,4.502365431520833e-07,1.000000182923504,1.7958767414093018,1.7958767414093018,0.0,0.0,0.00025582313537597656,0.00025582313537597656
free-running,none,cnn,300,5,ok,ok,1.8003966808319092,1.8003966808319092,0.0,0.0,0.0,0.4606854021549225,0.4606854021549225,0.0,0.0,8.396343426177062e-07,0.9999998667868456,1.7962770462036133,1.7962770462036133,0.0,0.0,0.00014448165893554688,0.00014448165893554688
free-running,none,cnn,300,6,ok,ok,1.7975610494613647,1.7975609302520752,-1.1920928955078125e-07,1.1920928955078125e-07,6.631724112318859e-08,0.2937520742416382,0.2937520742416382,0.0,0.0,6.536777484219138e-07,1.0000001362195574,1.796047329902649,1.7960472106933594,1.1920928955078125e-07,-1.1920928955078125e-07,8.52346420288086e-05,8.535385131835938e-05
free-running,none,cnn,300,7,ok,ok,1.7942981719970703,1.7942981719970703,0.0,0.0,0.0,0.45967555046081543,0.45967555046081543,0.0,0.0,1.1649921337881856e-06,1.0000000761535455,1.7958261966705322,1.7958263158798218,1.1920928955078125e-07,1.1920928955078125e-07,0.0003063678741455078,0.00030624866485595703
free-running,none,cnn,300,8,ok,ok,1.7780218124389648,1.7780219316482544,1.1920928955078125e-07,1.1920928955078125e-07,6.70460175034356e-08,0.453966349363327,0.4539663791656494,2.9802322387695312e-08,6.564874350930872e-08,4.587346794779076e-07,0.9999999447581478,1.7950024604797363,1.7950022220611572,2.384185791015625e-07,-2.384185791015625e-07,0.0011301040649414062,0.0011303424835205078
free-running,none,cnn,300,9,ok,ok,1.7829140424728394,1.7829139232635498,-1.1920928955078125e-07,1.1920928955078125e-07,6.686205095195848e-08,0.45457133650779724,0.45457127690315247,5.960464477539063e-08,1.3112275233475534e-07,1.0645848589684992e-06,0.9999999868188837,1.796054720878601,1.7960553169250488,5.960464477539062e-07,5.960464477539062e-07,7.784366607666016e-05,7.724761962890625e-05
free-running,none,cnn,300,10,ok,ok,1.8171653747558594,1.8171653747558594,0.0,0.0,0.0,0.5864900946617126,0.5864900946617126,0.0,0.0,7.101572938908005e-07,0.9999999587919394,1.796426773071289,1.796426773071289,0.0,0.0,0.0002942085266113281,0.0002942085266113281
free-running,none,cnn,300,11,ok,ok,1.794740915298462,1.7947406768798828,-2.384185791015625e-07,2.384185791015625e-07,1.328428950770947e-07,0.45893168449401855,0.45893165469169617,2.9802322387695312e-08,6.493847209645805e-08,3.0443311493980153e-07,0.9999999755938361,1.796839714050293,1.796839714050293,0.0,0.0,0.0007071495056152344,0.0007071495056152344
free-running,none,cnn,300,12,ok,ok,1.799041509628296,1.7990413904190063,-1.1920928955078125e-07,1.1920928955078125e-07,6.626266759982172e-08,0.2938443720340729,0.2938443720340729,0.0,0.0,5.011341822195786e-07,1.0000000995645226,1.7966105937957764,1.7966104745864868,1.1920928955078125e-07,-1.1920928955078125e-07,0.0004780292510986328,0.00047791004180908203
free-running,none,cnn,300,13,ok,ok,1.7849618196487427,1.7849618196487427,0.0,0.0,0.0,0.4558309316635132,0.4558309316635132,0.0,0.0,4.2131137361081987e-07,0.9999999403276607,1.7957806587219238,1.7957806587219238,0.0,0.0,0.00035190582275390625,0.00035190582275390625
free-running,none,cnn,300,14,ok,ok,1.7821834087371826,1.782183289527893,-1.1920928955078125e-07,1.1920928955078125e-07,6.6889462086986e-08,0.284268856048584,0.2842688262462616,2.9802322387695312e-08,1.0483850676418046e-07,9.828746196066072e-07,1.0000000079509515,1.7962069511413574,1.7962067127227783,2.384185791015625e-07,-2.384185791015625e-07,7.43865966796875e-05,7.414817810058594e-05
free-running,none,cnn,300,15,ok,ok,1.7903497219085693,1.790350317955017,5.960464477539062e-07,5.960464477539062e-07,3.329216867650379e-07,0.4574064612388611,0.4574064612388611,0.0,0.0,1.0288531765401965e-06,1.0000000775054578,1.7966196537017822,1.7966196537017822,0.0,0.0,0.0004870891571044922,0.0004870891571044922
free-running,none,cnn,300,16,ok,ok,1.7795474529266357,1.7795473337173462,-1.1920928955078125e-07,1.1920928955078125e-07,6.69885421457743e-08,0.4532020688056946,0.4532020688056946,0.0,0.0,5.436974156263512e-07,0.9999999679579894,1.7976768016815186,1.7976775169372559,7.152557373046875e-07,7.152557373046875e-07,0.0015442371368408203,0.001544952392578125
free-running,none,cnn,300,17,ok,ok,1.7870852947235107,1.7870852947235107,0.0,0.0,0.0,0.2882246673107147,0.2882246673107147,0.0,0.0,1.0345014715134624e-06,1.0000000516634133,1.7974743843078613,1.7974750995635986,7.152557373046875e-07,7.152557373046875e-07,0.0013418197631835938,0.0013425350189208984
free-running,none,cnn,300,18,ok,ok,1.7804279327392578,1.7804293632507324,1.430511474609375e-06,1.430511474609375e-06,8.034643239075363e-07,0.2863467037677765,0.2863467037677765,0.0,0.0,2.6985889661825346e-06,0.9999999075625953,1.7978951930999756,1.7978966236114502,1.430511474609375e-06,1.430511474609375e-06,0.0017626285552978516,0.001764059066772461
free-running,none,cnn,300,19,ok,ok,1.8063304424285889,1.806331992149353,1.5497207641601562e-06,1.5497207641601562e-06,8.579379487799166e-07,0.5828862190246582,0.582886278629303,5.960464477539063e-08,1.0225775929321073e-07,1.4957684473527445e-06,0.9999999029613825,1.7970263957977295,1.7970269918441772,5.960464477539062e-07,5.960464477539062e-07,0.0008938312530517578,0.0008944272994995117
free-running,none,cnn,300,20,ok,ok,1.7874846458435059,1.7874853610992432,7.152557373046875e-07,7.152557373046875e-07,4.0014634685725724e-07,0.2880485951900482,0.2880485951900482,0.0,0.0,1.8452928667175065e-06,1.000000065711027,1.796821117401123,1.7968218326568604,7.152557373046875e-07,7.152557373046875e-07,0.0006885528564453125,0.0006892681121826172
free-running,none,cnn,300,21,ok,ok,1.7802188396453857,1.780219554901123,7.152557373046875e-07,7.152557373046875e-07,4.01779508227239e-07,0.283456951379776,0.2834569811820984,2.9802322387695312e-08,1.0513878424659335e-07,1.7694012148833183e-06,1.0000000311573087,1.7966240644454956,1.7966253757476807,1.3113021850585938e-06,1.3113021850585938e-06,0.0004914999008178711,0.0004928112030029297
