threshold,fault,model,seed,first_detection_step,censor_step
0.001,grad_wrong,mlp,301,7.0,50
0.001,grad_wrong,mlp,302,5.0,50
0.001,grad_wrong,tiny_causal_lm,300,2.0,50
0.001,grad_wrong,tiny_causal_lm,301,2.0,50
0.001,grad_wrong,tiny_causal_lm,302,2.0,50
0.001,grad_wrong,transformer,300,6.0,50
0.001,grad_wrong,transformer,301,7.0,50
0.001,grad_wrong,transformer,302,8.0,50
0.001,param_wrong,cnn,300,n/a,50
0.001,param_wrong,cnn,301,n/a,50
0.001,param_wrong,cnn,302,n/a,50
0.001,param_wrong,mlp,300,14.0,50
0.001,param_wrong,mlp,301,7.0,50
0.001,param_wrong,mlp,302,5.0,50
0.001,param_wrong,tiny_causal_lm,300,2.0,50
0.001,param_wrong,tiny_causal_lm,301,2.0,50
0.001,param_wrong,tiny_causal_lm,302,2.0,50
0.001,param_wrong,transformer,300,3.0,50
0.001,param_wrong,transformer,301,4.0,50
0.001,param_wrong,transformer,302,5.0,50
0.0001,none,cnn,300,n/a,50
0.0001,none,cnn,301,n/a,50
0.0001,none,cnn,302,n/a,50
0.0001,none,mlp,300,n/a,50
0.0001,none,mlp,301,n/a,50
0.0001,none,mlp,302,n/a,50
0.0001,none,tiny_causal_lm,300,n/a,50
0.0001,none,tiny_causal_lm,301,n/a,50
0.0001,none,tiny_causal_lm,302,n/a,50
0.0001,none,transformer,300,n/a,50
0.0001,none,transformer,301,n/a,50
0.0001,none,transformer,302,n/a,50
0.0001,grad_wrong,cnn,300,2.0,50
0.0001,grad_wrong,cnn,301,2.0,50
0.0001,grad_wrong,cnn,302,2.0,50
0.0001,grad_wrong,mlp,300,2.0,50
0.0001,grad_wrong,mlp,301,2.0,50
0.0001,grad_wrong,mlp,302,2.0,50
0.0001,grad_wrong,tiny_causal_lm,300,2.0,50
0.0001,grad_wrong,tiny_causal_lm,301,2.0,50
0.0001,grad_wrong,tiny_causal_lm,302,2.0,50
0.0001,grad_wrong,transformer,300,2.0,50
0.0001,grad_wrong,transformer,301,2.0,50
0.0001,grad_wrong,transformer,302,2.0,50
0.0001,param_wrong,cnn,300,n/a,50
0.0001,param_wrong,cnn,301,14.0,50
0.0001,param_wrong,cnn,302,12.0,50
0.0001,param_wrong,mlp,300,2.0,50
0.0001,param_wrong,mlp,301,3.0,50
0.0001,param_wrong,mlp,302,2.0,50
0.0001,param_wrong,tiny_causal_lm,300,2.0,50
0.0001,param_wrong,tiny_causal_lm,301,2.0,50
0.0001,param_wrong,tiny_causal_lm,302,2.0,50
0.0001,param_wrong,transformer,300,2.0,50
0.0001,param_wrong,transformer,301,2.0,50
0.0001,param_wrong,transformer,302,2.0,50
1e-05,none,cnn,300,n/a,50
1e-05,none,cnn,301,n/a,50
1e-05,none,cnn,302,n/a,50
1e-05,none,mlp,300,n/a,50
1e-05,none,mlp,301,n/a,50
1e-05,none,mlp,302,n/a,50
1e-05,none,tiny_causal_lm,300,n/a,50
1e-05,none,tiny_causal_lm,301,n/a,50
1e-05,none,tiny_causal_lm,302,n/a,50
1e-05,none,transformer,300,n/a,50
1e-05,none,transformer,301,n/a,50
1e-05,none,transformer,302,n/a,50
1e-05,grad_wrong,cnn,300,2.0,50
1e-05,grad_wrong,cnn,301,2.0,50
1e-05,grad_wrong,cnn,302,2.0,50
1e-05,grad_wrong,mlp,300,2.0,50
1e-05,grad_wrong,mlp,301,2.0,50
1e-05,grad_wrong,mlp,302,2.0,50
1e-05,grad_wrong,tiny_causal_lm,300,2.0,50
1e-05,grad_wrong,tiny_causal_lm,301,2.0,50
1e-05,grad_wrong,tiny_causal_lm,302,2.0,50
1e-05,grad_wrong,transformer,300,2.0,50
1e-05,grad_wrong,transformer,301,2.0,50
1e-05,grad_wrong,transformer,302,2.0,50
1e-05,param_wrong,cnn,300,8.0,50
1e-05,param_wrong,cnn,301,3.0,50
