backbone_group,method,conditions,exact_models,instances,strict_success,repair_at_1,repair_at_2,repair_at_4,repair_at_4_seed_mean,repair_at_4_seed_std,llm_calls,prompt_tokens,completion_tokens,total_tokens,wall_time_sec,provider_failures,environment_failures,observed_temperatures,observed_reasoning_efforts
deepseek-v4-flash,r_direct,3,deepseek-v4-flash,150,130,0.8066666666666666,0.8466666666666667,0.8666666666666667,0.8666666666666667,0.011547005383792526,224,3658566,2203190,5861756,23511.970438,0,0,0.0;0.1,
deepseek-v4-flash,r_exec,3,deepseek-v4-flash,150,101,0.66,0.6666666666666666,0.6733333333333333,0.6733333333333333,0.011547005383792526,132,295793,253271,549064,18812.574034,0,0,0.0;0.1,
deepseek-v4-flash,r_hier,3,deepseek-v4-flash,150,143,0.8666666666666667,0.9266666666666666,0.9533333333333334,0.9533333333333333,0.011547005383792526,112,434825,231395,666220,7218.83269,0,0,0.0;0.1,
glm-family-mixed,r_direct,3,glm-5.3-flash,150,133,0.8733333333333333,0.88,0.8866666666666667,0.8866666666666667,0.011547005383792526,204,3179916,935693,4115609,44307.32881,0,0,0.0,high
glm-family-mixed,r_exec,3,glm-5.2;glm-5.3-flash,150,96,0.6333333333333333,0.64,0.64,0.64,0.0,145,290869,60101,350970,14566.69179,0,0,0.0,high
glm-family-mixed,r_hier,3,glm-5.2;glm-5.3-flash,150,126,0.72,0.78,0.84,0.84,0.08717797887081348,131,403810,98634,502444,11038.574545,0,0,0.0,high
qwen3.7-plus,r_direct,3,qwen3.7-plus,150,131,0.8066666666666666,0.8333333333333334,0.8733333333333333,0.8733333333333333,0.011547005383792526,225,4019629,914512,4934141,19433.940628,0,0,0.0,
qwen3.7-plus,r_exec,3,qwen3.7-plus,150,96,0.5866666666666667,0.62,0.64,0.64,0.0,156,337137,214640,551777,17891.570544,0,0,0.0,
qwen3.7-plus,r_hier,3,qwen3.7-plus,150,111,0.6,0.6866666666666666,0.74,0.74,0.05291502622129186,153,728336,372868,1101204,27121.159705,0,0,0.0,
