layer,categories,instances,strict_success,strict_repair_rate,repair_at_1,repair_at_2,repair_at_4,median_rounds
execution,10,20,14,0.7,0.7,0.7,0.7,1.0
numerical,7,14,8,0.5714285714285714,0.42857142857142855,0.5714285714285714,0.5714285714285714,1.0
gradient_update,8,16,12,0.75,0.75,0.75,0.75,1.0
mixed,0,0,0,0.0,0.0,0.0,0.0,
overall,25,50,34,0.68,0.64,0.68,0.68,1.0
