layer,categories,instances,strict_success,strict_repair_rate,repair_at_1,repair_at_2,repair_at_4,median_rounds
execution,10,20,18,0.9,0.85,0.85,0.9,1.0
numerical,7,14,14,1.0,0.9285714285714286,0.9285714285714286,1.0,1.0
gradient_update,8,16,16,1.0,0.9375,0.9375,1.0,1.0
mixed,0,0,0,0.0,0.0,0.0,0.0,
overall,25,50,48,0.96,0.9,0.9,0.96,1.0
