benchmark,baseline,both,slim_only,baseline_only,neither
Fixed50,swe_native_isolated,29,16,0,5
Fixed50,direct_shared_tools,35,10,0,5
Natural10,swe_native_isolated,5,4,0,1
Natural10,direct_shared_tools,5,4,0,1
