method,conditions,candidate_artifacts,distinct_candidate_hashes,strict_accepted,forward_completed,training_completed,historical_tokens,usage_kind,new_api_calls,new_api_tokens,seeds,execution_or_initialization_failures,training_failures_after_forward,strict_failures_after_training
MSAdapter 0.6.0 CPU,15,5,5,0,15,0,0,no_llm,0,0,"[642, 643, 644]",0,15,0
CodeTransEngine translation-only,15,15,15,8,12,12,33702,estimated,0,0,"[642, 643, 644]",3,0,4
Direct,15,15,15,7,13,13,361566,historical_reported_usage,0,0,"[642, 643, 644]",2,0,6
Frozen Translator,15,15,15,15,15,15,287550,historical_reported_usage,0,0,"[642, 643, 644]",0,0,0
