variant,accepted,planned,controller_accepted,initially_accepted_by_visible_checks,calls,tokens,unknown_usage_calls
execution,4,16,16,12,145,2088915,0
execution_forward,8,16,16,8,168,2603211,0
execution_forward_gradient,12,16,16,4,184,3302873,0
all_observations,16,16,16,0,193,3418960,0
