layer,categories,instances,strict_success,strict_repair_rate,repair_at_1,repair_at_2,repair_at_4,median_rounds
execution,10,20,16,0.8,0.55,0.6,0.8,1.0
numerical,7,14,7,0.5,0.42857142857142855,0.42857142857142855,0.5,1.0
gradient_update,8,16,12,0.75,0.75,0.75,0.75,1.0
mixed,0,0,0,0.0,0.0,0.0,0.0,
overall,25,50,35,0.7,0.58,0.6,0.7,1.0
