baseline_id,instance_id,fault_id,old_strict_success,fixed60_strict_success,changed
r_hier,GR-02-B,GR-02,True,True,False
r_hier,GR-03-A,GR-03,True,True,False
r_hier,GR-03-B,GR-03,True,True,False
r_hier,GR-04-A,GR-04,True,True,False
r_hier,GR-04-B,GR-04,True,True,False
r_hier,GR-05-A,GR-05,True,True,False
r_hier,GR-05-B,GR-05,True,False,True
r_hier,GR-06-A,GR-06,True,True,False
r_hier,GR-06-B,GR-06,True,True,False
r_hier,GR-07-A,GR-07,True,True,False
r_hier,GR-07-B,GR-07,True,True,False
r_hier,GR-08-A,GR-08,True,True,False
r_hier,GR-08-B,GR-08,True,True,False
r_direct,EX-01-A,EX-01,True,True,False
r_direct,EX-01-B,EX-01,True,True,False
r_direct,EX-02-A,EX-02,True,True,False
r_direct,EX-02-B,EX-02,True,True,False
r_direct,EX-03-A,EX-03,True,True,False
r_direct,EX-03-B,EX-03,True,True,False
r_direct,EX-04-A,EX-04,True,True,False
r_direct,EX-04-B,EX-04,True,True,False
r_direct,EX-05-A,EX-05,True,True,False
r_direct,EX-05-B,EX-05,True,True,False
r_direct,EX-06-A,EX-06,True,True,False
r_direct,EX-06-B,EX-06,True,True,False
r_direct,EX-07-A,EX-07,True,True,False
r_direct,EX-07-B,EX-07,False,True,True
r_direct,EX-08-A,EX-08,True,True,False
r_direct,EX-08-B,EX-08,True,True,False
r_direct,EX-09-A,EX-09,True,True,False
r_direct,EX-09-B,EX-09,True,True,False
r_direct,EX-10-A,EX-10,False,True,True
r_direct,EX-10-B,EX-10,True,True,False
r_direct,NU-01-A,NU-01,False,True,True
r_direct,NU-01-B,NU-01,False,True,True
r_direct,NU-02-A,NU-02,True,True,False
r_direct,NU-02-B,NU-02,True,True,False
r_direct,NU-03-A,NU-03,False,False,False
r_direct,NU-03-B,NU-03,False,False,False
r_direct,NU-04-A,NU-04,True,True,False
r_direct,NU-04-B,NU-04,True,True,False
r_direct,NU-05-A,NU-05,True,True,False
r_direct,NU-05-B,NU-05,True,True,False
r_direct,NU-06-A,NU-06,True,True,False
