baseline_id,display_name,instances,strict_success,strict_success_rate,repair_at_1,repair_at_2,repair_at_4,execution_success,execution_instances,numerical_success,numerical_instances,gradient_update_success,gradient_update_instances,mixed_success,mixed_instances,model_binding_valid,model_binding_invalid,provider_failures,environment_failures,llm_calls,prompt_tokens,completion_tokens,total_tokens,wall_time_sec
r_exec,R-EXEC,60,42,0.7,0.6833333333333333,0.6833333333333333,0.7,14,20,7,14,14,18,7,8,60,0,0,0,61,130439,218501,348940,8399.328483
r_flat,R-FLAT,60,44,0.7333333333333333,0.7,0.7333333333333333,0.7333333333333333,14,20,8,14,14,18,8,8,60,0,0,0,54,140645,409282,549927,12118.215608
r_hier,R-HIER,60,54,0.9,0.7833333333333333,0.85,0.9,16,20,13,14,17,18,8,8,60,0,0,0,51,187371,212282,399653,5970.628027
r_direct,Direct LLM Repair,60,54,0.9,0.7833333333333333,0.9,0.9,20,20,10,14,16,18,8,8,60,0,0,0,85,1213743,1288278,2502021,10573.964306
r_swe,SWE-agent v1.1.0,60,43,0.7166666666666667,0.6333333333333333,0.7,0.7166666666666667,19,20,9,14,12,18,3,8,60,0,0,0,102,8332661,298958,8631619,13054.351668
r_matchfix,MatchFixAgent 66a52a5,60,58,0.9666666666666667,0.8833333333333333,0.9166666666666666,0.9666666666666667,20,20,14,14,16,18,8,8,60,0,0,0,75,3532635,3843951,7376586,19091.239209
