layer,categories,instances,strict_success,strict_repair_rate,repair_at_1,repair_at_2,repair_at_4,median_rounds
execution,10,20,15,0.75,0.55,0.7,0.75,1.0
numerical,7,14,9,0.6428571428571429,0.35714285714285715,0.5,0.6428571428571429,1.0
gradient_update,8,16,12,0.75,0.75,0.75,0.75,1.0
mixed,0,0,0,0.0,0.0,0.0,0.0,
overall,25,50,36,0.72,0.56,0.66,0.72,1.0
