after_hash,before_hash,buffer_name,experiment_scope,finite,instance_id,model,real_scale_stage,seed,shape,side,step,update_l2,updated
9224e1bb901bf2bb938ff983320e52328226af72c126f31903ad6a1f748b848f,3344012fd32ff509f3cd7bfa8d5733a358d9f310af436ad8a336cd3bf1da2f31,bn1.num_batches_tracked,real_scale,True,resnet18__seed_101,resnet18,ten_steps,101,[],torch,1,1.0,True
ad95c683160275f1f84507b3d8cd07f19cb5e7d512d84d90ad90f46b73868388,e89044460c11f02084f8b191e7bb575432e3d230dbba2c30de3ff914268adc50,bn1.running_mean,real_scale,True,resnet18__seed_101,resnet18,ten_steps,101,[64],torch,1,0.013667819590959938,True
11159d141d83971818b83a428c4033da459c56898a2402e6742fe8767648c45f,195dd72ce5e11412dd14eb5957dc0d8d99e37cce89971798254fa51740e856a1,bn1.running_var,real_scale,True,resnet18__seed_101,resnet18,ten_steps,101,[64],torch,1,0.7071250895235438,True
9224e1bb901bf2bb938ff983320e52328226af72c126f31903ad6a1f748b848f,3344012fd32ff509f3cd7bfa8d5733a358d9f310af436ad8a336cd3bf1da2f31,layer1.0.bn1.num_batches_tracked,real_scale,True,resnet18__seed_101,resnet18,ten_steps,101,[],torch,1,1.0,True
47904102f3338d8257fc5a87fdda19bdb974de5be8c77078998c69c62902ee82,e89044460c11f02084f8b191e7bb575432e3d230dbba2c30de3ff914268adc50,layer1.0.bn1.running_mean,real_scale,True,resnet18__seed_101,resnet18,ten_steps,101,[64],torch,1,0.8427782867218756,True
da20c6304f84613d8b700c3e8cfb8e1e0560912bb632c85264e3588d258885ed,195dd72ce5e11412dd14eb5957dc0d8d99e37cce89971798254fa51740e856a1,layer1.0.bn1.running_var,real_scale,True,resnet18__seed_101,resnet18,ten_steps,101,[64],torch,1,0.43935415181045856,True
9224e1bb901bf2bb938ff983320e52328226af72c126f31903ad6a1f748b848f,3344012fd32ff509f3cd7bfa8d5733a358d9f310af436ad8a336cd3bf1da2f31,layer1.0.bn2.num_batches_tracked,real_scale,True,resnet18__seed_101,resnet18,ten_steps,101,[],torch,1,1.0,True
423d80e906e1a72ecf99bb584f0556627a2a6c1aea3c4d76f5cdb840828e97c6,e89044460c11f02084f8b191e7bb575432e3d230dbba2c30de3ff914268adc50,layer1.0.bn2.running_mean,real_scale,True,resnet18__seed_101,resnet18,ten_steps,101,[64],torch,1,0.39332984656457254,True
a1d85ec27cf7b047d5604d3a24e413d9057c30bbd72bfd05a0df0f7b1b9a5044,195dd72ce5e11412dd14eb5957dc0d8d99e37cce89971798254fa51740e856a1,layer1.0.bn2.running_var,real_scale,True,resnet18__seed_101,resnet18,ten_steps,101,[64],torch,1,0.28183062006250514,True
9224e1bb901bf2bb938ff983320e52328226af72c126f31903ad6a1f748b848f,3344012fd32ff509f3cd7bfa8d5733a358d9f310af436ad8a336cd3bf1da2f31,layer1.1.bn1.num_batches_tracked,real_scale,True,resnet18__seed_101,resnet18,ten_steps,101,[],torch,1,1.0,True
