attempted_configs,expected_conditions,gate,graph_policy,passing_configs,reused_from,selected_config,stage,status,summary,updated_at
,,,"Graph Mode is recorded as an additional smoke test. Per the optimization plan, unsupported functional_call/context-manager compilation does not block PyNative formal runs.",,,,minimal_regression,complete,"{""conditions"": 8, ""execution_success"": 5, ""training_valid"": 5, ""pynative_conditions"": 4, ""pynative_training_valid"": 4, ""graph_conditions"": 4, ""graph_training_valid"": 1, ""graph_unsupported"": 3, ""initial_parameters_identical"": 5}",2026-09-06T03:27:00+00:00
"[""D-S1"", ""D-S2"", ""D-S3"", ""D-S4"", ""D-S5"", ""D-S6"", ""D-S7""]",,,,"[""06_steps400_batch4_lr0.05"", ""07_steps200_batch4_lr0.10""]",,,parameter_sweep,complete,,2026-09-06T03:27:02+00:00
,,,,,"{""source_run"": ""b1820c37d6a5"", ""source_commit"": ""b1820c37d6a5d8f2d1439f916d8e65ebae9c0540"", ""conditions"": 24, ""step_rows"": 9600, ""policy"": ""stream-validated immutable controlled outputs; training was not rerun""}",06_steps400_batch4_lr0.05,controlled_24,complete,"{""conditions"": 24, ""expected_conditions"": 24, ""training_valid_conditions"": 24, ""step_rows"": 9600, ""max_loss_abs_diff"": 4.0531158447265625e-06, ""max_grad_norm_abs_diff"": 5.4836273193359375e-06, ""max_param_update_rel_l2"": 0.00011810141008035475, ""loss_threshold_exceedances"": 0, ""grad_threshold_exceedances"": 0, ""param_threshold_exceedances"": 0}",2026-09-06T03:27:02+00:00
,2,"{""update_parameter_sets_identical"": true, ""drift_thresholds_applied"": false, ""passed"": true}",,,"{""source_run"": ""f4e33a1ed0df"", ""source_commit"": ""f4e33a1ed0df0af83d356fa942999f67877707f7"", ""policy"": ""validated immutable real-scale outputs; training was not rerun""}",,real_scale_one_step,complete,"{""instances"": 2, ""paired_execution_success"": 2, ""torch_success"": 2, ""torch4ms_success"": 2, ""execution_success"": 2, ""training_valid"": 2, ""initial_parameters_identical"": 2, ""both_parameters_updated"": 2}",2026-09-06T03:27:02+00:00
,2,"{""update_parameter_sets_identical"": true, ""drift_thresholds_applied"": true, ""limits"": {""paired_loss_residual_max_abs"": 0.02, ""paired_fixed_probe_residual_max_abs"": 0.02, ""val_loss_abs_diff"": 0.02, ""parameter_update_norm_rel_diff"": 0.03}, ""maxima"": {""paired_loss_residual_max_abs"": 0.08973050117492676, ""paired_fixed_probe_residual_max_abs"": 0.01698899269104004, ""val_loss_abs_diff"": 0.007310914993285955, ""parameter_update_norm_rel_diff"": 0.01906902967441245}, ""exceeded"": [{""metric"": ""paired_loss_residual_max_abs"", ""value"": 0.08973050117492676, ""limit"": 0.02}], ""passed"": false}",,,"{""source_run"": ""f4e33a1ed0df"", ""source_commit"": ""f4e33a1ed0df0af83d356fa942999f67877707f7"", ""policy"": ""validated immutable real-scale outputs; training was not rerun""}",,real_scale_ten_steps,failed_gate,"{""instances"": 2, ""paired_execution_success"": 2, ""torch_success"": 2, ""torch4ms_success"": 2, ""execution_success"": 2, ""training_valid"": 2, ""initial_parameters_identical"": 2, ""both_parameters_updated"": 2}",2026-09-06T03:27:02+00:00
