repository,condition,status,accepted,checks_passed,checks_expected,checks_failed,checks_not_measured,calls,repair_tokens,translation_calls,translation_tokens,end_to_end_calls,end_to_end_tokens,submissions,unknown_usage_calls
timeseries,full,completed,True,69,69,0,0,30,1963239,3,163661,33,2126900,2,0
twotower,full,completed,False,131,145,14,0,80,9593135,20,368368,100,9961503,4,0
timeseries,no_work_unit_planning,completed,True,69,69,0,0,21,1639890,3,163661,24,1803551,1,0
twotower,no_work_unit_planning,completed,False,130,145,15,0,69,8845355,20,368368,89,9213723,4,0
