scope,instances,strict_success,repair_rate,repair_at_1,median_rounds
candidate_level,26,25,0.9615384615384616,0.9230769230769231,1.0
core_autograd_optimizer,4,0,0.0,0.0,
core_operator,20,8,0.4,0.4,1.0
