layer,scope,real_llm,instances,passed,success_rate,repair_at_1,repair_at_2,repair_at_4,median_rounds,fault_triggered,restored_or_isolated,patch_count,failed_faults
execution,candidate,True,10,10,1.0,1.0,1.0,1.0,1.0,10,10,10,
execution,core_operator,True,10,8,0.8,0.4,0.6,0.8,1.5,10,10,9,EX-06-B;EX-08-B
gradient_update,candidate,True,12,12,1.0,1.0,1.0,1.0,1.0,12,12,12,
gradient_update,core_autograd_optimizer,True,4,4,1.0,0.25,0.75,1.0,2.0,4,4,7,
numerical,candidate,True,4,4,1.0,1.0,1.0,1.0,1.0,4,4,4,
numerical,core_operator,True,10,10,1.0,0.5,0.9,1.0,1.5,10,10,9,
