api_cost_usd,attempts,baseline_id,blind,bridge_clean_control_reason,bridge_clean_control_status,compile_status,completion_tokens,covered,effective_rounds,execution_status,expected_model_variant,failure_reason,fault_id,fault_layer,fault_triggered,final_patch,formal_table1_evidence,gradient_status,instance_id,instance_label,layer,low_hint,max_grad_norm_abs_diff,max_loss_abs_diff,max_param_update_rel_l2,model,model_binding_valid,model_id,model_name,model_variant,numerical_status,observed_model_variants,oracle,out_of_scope_edit_count,paired_adapter,paired_evidence_tier,paired_failure_reason,paired_replay_status,paired_steps,passed,patch_count,prompt_tokens,raw_report,real_llm,regression_passed,repair_at_1,repair_at_2,repair_at_4,repair_attempts,repair_round,restore_status,runner_case,runner_error,scope,strict_success,strict_success_paired,strict_success_paired_isolated,task_id,torch4ms_status,torch_status,total_tokens,update_status,validation_status,wall_time_sec,workload_fingerprint
,0,r_exec,True,,pass,,,,0,,transformer,wrong_root_cause_hypothesis,EX-06,,True,,True,,EX-06-A,A,execution,False,,,,,True,M3,Transformer Classifier,transformer,,transformer,tensor boundary type probe,,,,"TypeError: expected Tensor as element 0 in argument 0, but got Tensor",torch4ms_core_candidate_failed,,False,1,,,True,False,,,,,,True,,,core_operator,False,False,,,failed,ok,,,,101.296102,9df4459cebaad0f13e5784385f67b0575218cc9285ea0ee3bc9141b4beba80b5
,0,r_exec,True,,pass,,,,0,,causal_lm,wrong_root_cause_hypothesis,EX-06,,True,,True,,EX-06-B,B,execution,False,,,,,True,M4,Tiny Causal LM,causal_lm,,causal_lm,tensor boundary type probe,,,,"TypeError: expected Tensor as element 0 in argument 0, but got Tensor",torch4ms_core_candidate_failed,,False,1,,,True,False,,,,,,True,,,core_operator,False,False,,,failed,ok,,,,53.201321,7d8536967f218a4927edce1f5634b2979f6db47ed0682521035d1508176486cc
,4,r_exec,True,,pass,,,,4,,cnn,repair_budget_exhausted,EX-07,,True,,True,,EX-07-A,A,execution,False,,,,,True,M1,CNN,cnn,,cnn,BF16 embedding private probe,,,,"IndentationError: expected an indented block (mtorch.py, line 980)",torch4ms_core_candidate_failed,,False,1,,,True,False,,,,,,True,EX-07,,core_operator,False,False,,,failed,ok,,,,60.95916,9c136d95fa12c082c9e40ed7507c29b81c007491624dfe25fb8d5033390b1359
,4,r_exec,True,,pass,,,,4,,mlp,repair_budget_exhausted,EX-07,,True,,True,,EX-07-B,B,execution,False,,,,,True,M2,Image MLP,mlp,,mlp,BF16 embedding private probe,,,,"TypeError: For primitive[OneHot], the input argument[off_value] must be a type of {Tensor[Float16], Tensor[Float32], Tensor[Int32], Tensor[Int64]}, but got Tensor[BFloat16].

----------------------------------------------------
- C++ Call Stack: (For framework developers)
----------------------------------------------------
mindspore/core/utils/check_convert_utils.cc:1042 CheckTensorSubClass
",torch4ms_core_candidate_failed,,False,0,,,True,False,,,,,,True,EX-07,,core_operator,False,False,,,failed,ok,,,,59.028889,aa7d883747f81e64bac70250351a2005a5b88191e23a90806500a04dc14fcb5b
,4,r_exec,True,,pass,,,,4,,cnn,repair_budget_exhausted,EX-08,,True,,True,,EX-08-A,A,execution,False,,,,,True,M1,CNN,cnn,,cnn,SDPA boundary private probe,,,,"ValueError: For 'Transpose', size of perm should equal to rank of x, but got 2 and 4!

----------------------------------------------------
- C++ Call Stack: (For framework developers)
----------------------------------------------------
mindspore/ops/view/transpose_strides_calc.cc:61 TransposeBasicTypeCalc
",torch4ms_core_candidate_failed,,False,0,,,True,False,,,,,,True,EX-08,,core_operator,False,False,,,failed,ok,,,,207.004515,8c0450ee67884f4f43518ca94033cab11f93659c977f4cb86b26a150bf02889e
,4,r_exec,True,,pass,,,,4,,transformer,repair_budget_exhausted,EX-08,,True,,True,,EX-08-B,B,execution,False,,,,,True,M3,Transformer Classifier,transformer,,transformer,SDPA boundary private probe,,,,"ValueError: For 'Transpose', size of perm should equal to rank of x, but got 2 and 4!

----------------------------------------------------
- C++ Call Stack: (For framework developers)
----------------------------------------------------
mindspore/ops/view/transpose_strides_calc.cc:61 TransposeBasicTypeCalc
",torch4ms_core_candidate_failed,,False,1,,,True,False,,,,,,True,EX-08,,core_operator,False,False,,,failed,ok,,,,186.813684,209f080bc047d78b86ea82be0b5e0883fc17564368f86ffd0d4ffafb64d43cd8
,1,r_exec,True,,pass,,,,1,,cnn,,EX-09,,True,,True,,EX-09-A,A,execution,False,1.1641532182693481e-10,1.0913936421275139e-11,0.0,,True,M1,CNN,cnn,,cnn,core overload registry contract probe,,torch4ms_operator_training_bridge,torch4ms_bridge_training,,measured_torch4ms_bridge_replay,1,True,1,,,True,True,,,,,,True,EX-09,,core_operator,True,True,,,ok,ok,,,verified_restored,5.945006,731f0c8d1b62499276018c1acb2325d87d1b8069aa0914a13b52532bd0804d9c
,1,r_exec,True,,pass,,,,1,,causal_lm,,EX-09,,True,,True,,EX-09-B,B,execution,False,1.1641532182693481e-10,1.0913936421275139e-11,0.0,,True,M4,Tiny Causal LM,causal_lm,,causal_lm,core overload registry contract probe,,torch4ms_operator_training_bridge,torch4ms_bridge_training,,measured_torch4ms_bridge_replay,1,True,1,,,True,True,,,,,,True,EX-09,,core_operator,True,True,,,ok,ok,,,verified_restored,6.930933,9d9265eb0c8a3218e777a229806befaab4aedd2afa11ec3d673115fc2042aa34
,1,r_exec,True,,pass,,,,1,,mlp,,EX-10,,True,,True,,EX-10-A,A,execution,False,0.3640214204788208,4.977618455886841,0.3338930080448045,,True,M2,Image MLP,mlp,,mlp,core tuple/Tensor return protocol probe,,torch4ms_operator_training_bridge,torch4ms_bridge_training,,measured_torch4ms_bridge_replay,1,True,1,,,True,True,,,,,,True,EX-10,,core_operator,True,False,,,ok,ok,,,verified_restored,9.276671,032aa663b90d2e6a8d4d7fe85aefa23b79361d87932cd7c301642b91172afe17
,1,r_exec,True,,pass,,,,1,,transformer,,EX-10,,True,,True,,EX-10-B,B,execution,False,0.3640214204788208,4.977618455886841,0.3338930080448045,,True,M3,Transformer Classifier,transformer,,transformer,core tuple/Tensor return protocol probe,,torch4ms_operator_training_bridge,torch4ms_bridge_training,,measured_torch4ms_bridge_replay,1,True,1,,,True,True,,,,,,True,EX-10,,core_operator,True,False,,,ok,ok,,,verified_restored,11.24172,759c1cc283f0cf31c073dea4980aee2f0f934bdf77e0beecdf561b1efb438fa9
