coupling,fault,model,seed,step,torch_status,torch4ms_status,torch_loss,torch4ms_loss,loss_residual,loss_abs_diff,loss_rel_diff,torch_grad_norm,torch4ms_grad_norm,grad_norm_abs_diff,grad_norm_rel_diff,param_update_rel_l2,param_update_cosine,torch_fixed_probe_loss,torch4ms_fixed_probe_loss,fixed_probe_loss_abs_diff,fixed_probe_loss_residual,torch_fixed_probe_displacement,torch4ms_fixed_probe_displacement
free-running,none,cnn,300,1,ok,ok,1.7791353464126587,1.7791353464126587,0.0,0.0,0.0,0.455242395401001,0.455242395401001,0.0,0.0,1.893854338520584e-07,1.0000000675209801,1.787977933883667,1.7879807949066162,2.86102294921875e-06,2.86102294921875e-06,0.008154630661010742,0.008151769638061523
free-running,none,cnn,300,2,ok,ok,1.8081878423690796,1.8081907033920288,2.86102294921875e-06,2.86102294921875e-06,1.5822573049688219e-06,0.46355050802230835,0.46355047821998596,2.9802322387695312e-08,6.429142428263951e-08,2.452088840380754e-06,1.0000000918614296,1.798402190208435,1.7984051704406738,2.9802322387695312e-06,2.9802322387695312e-06,0.0022696256637573242,0.0022726058959960938
free-running,none,cnn,300,3,ok,ok,1.7890684604644775,1.7890712022781372,2.7418136596679688e-06,2.7418136596679688e-06,1.5325346784279153e-06,0.2878287732601166,0.2878287732601166,0.0,0.0,4.051416918086635e-06,1.000000026177046,1.7963141202926636,1.7963169813156128,2.86102294921875e-06,2.86102294921875e-06,0.00018155574798583984,0.0001844167709350586
free-running,none,cnn,300,4,ok,ok,1.807483434677124,1.8074861764907837,2.7418136596679688e-06,2.7418136596679688e-06,1.516920956480659e-06,0.46402910351753235,0.4640290439128876,5.960464477539063e-08,1.2845022935751829e-07,2.5555719142530364e-06,0.9999998959789538,1.7941203117370605,1.7941209077835083,5.960464477539062e-07,5.960464477539062e-07,0.0020122528076171875,0.0020116567611694336
free-running,none,cnn,300,5,ok,ok,1.7983309030532837,1.7983307838439941,-1.1920928955078125e-07,1.1920928955078125e-07,6.628885114990938e-08,0.46002480387687683,0.46002477407455444,2.9802322387695312e-08,6.478416410709834e-08,5.067663818816115e-07,0.9999997856623039,1.7983441352844238,1.7983471155166626,2.9802322387695312e-06,2.9802322387695312e-06,0.0022115707397460938,0.0022145509719848633
free-running,none,cnn,300,6,ok,ok,1.777032494544983,1.7770354747772217,2.9802322387695312e-06,2.9802322387695312e-06,1.6770808917830684e-06,0.28209173679351807,0.28209173679351807,0.0,0.0,4.132606546178506e-06,0.9999999512309169,1.7964102029800415,1.7964131832122803,2.9802322387695312e-06,2.9802322387695312e-06,0.00027763843536376953,0.00028061866760253906
free-running,none,cnn,300,7,ok,ok,1.8008809089660645,1.8008836507797241,2.7418136596679688e-06,2.7418136596679688e-06,1.5224823982831164e-06,0.4620058536529541,0.4620058536529541,0.0,0.0,2.532629504675168e-06,0.9999999471384726,1.7942651510238647,1.7942678928375244,2.7418136596679688e-06,2.7418136596679688e-06,0.0018674135208129883,0.0018646717071533203
free-running,none,cnn,300,8,ok,ok,1.7733781337738037,1.7733808755874634,2.7418136596679688e-06,2.7418136596679688e-06,1.5460940722954932e-06,0.4523754119873047,0.4523754417896271,2.9802322387695312e-08,6.587962040953276e-08,2.62129802503814e-06,0.9999999207614771,1.7862880229949951,1.7862908840179443,2.86102294921875e-06,2.86102294921875e-06,0.009844541549682617,0.009841680526733398
free-running,none,cnn,300,9,ok,ok,1.7820414304733276,1.7820440530776978,2.6226043701171875e-06,2.6226043701171875e-06,1.4716832423911132e-06,0.45473751425743103,0.45473748445510864,2.9802322387695312e-08,6.553741763830803e-08,2.3935857608952027e-06,0.9999999761700294,1.7971307039260864,1.797133445739746,2.7418136596679688e-06,2.7418136596679688e-06,0.0009981393814086914,0.0010008811950683594
free-running,none,cnn,300,10,ok,ok,1.8154979944229126,1.8155007362365723,2.7418136596679688e-06,2.7418136596679688e-06,1.5102244823935404e-06,0.586084246635437,0.586084246635437,0.0,0.0,2.020116031763707e-06,0.9999999076110291,1.801123023033142,1.8011257648468018,2.7418136596679688e-06,2.7418136596679688e-06,0.0049904584884643555,0.0049932003021240234
free-running,none,cnn,300,11,ok,ok,1.768603801727295,1.7686066627502441,2.86102294921875e-06,2.86102294921875e-06,1.6176705705551064e-06,0.44971194863319397,0.44971194863319397,0.0,0.0,2.6146932936915226e-06,0.9999999918957716,1.8057713508605957,1.805774211883545,2.86102294921875e-06,2.86102294921875e-06,0.009638786315917969,0.009641647338867188
free-running,none,cnn,300,12,ok,ok,1.8225581645965576,1.8225610256195068,2.86102294921875e-06,2.86102294921875e-06,1.5697817022320333e-06,0.3069818615913391,0.30698180198669434,5.960464477539063e-08,1.9416340909007067e-07,3.7868458162117956e-06,0.9999999226855039,1.8030264377593994,1.8030292987823486,2.86102294921875e-06,2.86102294921875e-06,0.00689387321472168,0.0068967342376708984
free-running,none,cnn,300,13,ok,ok,1.773740291595459,1.7737431526184082,2.86102294921875e-06,2.86102294921875e-06,1.6129860431006001e-06,0.45261237025260925,0.45261237025260925,0.0,0.0,2.6128995299494527e-06,1.0000000481458682,1.7949485778808594,1.794951319694519,2.7418136596679688e-06,2.7418136596679688e-06,0.0011839866638183594,0.0011812448501586914
free-running,none,cnn,300,14,ok,ok,1.8053030967712402,1.8053057193756104,2.6226043701171875e-06,2.6226043701171875e-06,1.4527203575382519e-06,0.29769179224967957,0.29769182205200195,2.9802322387695312e-08,1.0011132379205677e-07,3.995122578184446e-06,1.0000000311367077,1.7989237308502197,1.7989264726638794,2.7418136596679688e-06,2.7418136596679688e-06,0.002791166305541992,0.00279390811920166
free-running,none,cnn,300,15,ok,ok,1.7390005588531494,1.7390034198760986,2.86102294921875e-06,2.86102294921875e-06,1.6452083512421117e-06,0.43850746750831604,0.4385075271129608,5.960464477539063e-08,1.3592616110335615e-07,2.74307089179741e-06,1.000000005510618,1.8040118217468262,1.8040145635604858,2.7418136596679688e-06,2.7418136596679688e-06,0.007879257202148438,0.007881999015808105
free-running,none,cnn,300,16,ok,ok,1.7477710247039795,1.7477738857269287,2.86102294921875e-06,2.86102294921875e-06,1.6369525672531732e-06,0.4416176676750183,0.4416177272796631,5.960464477539063e-08,1.3496886808088846e-07,2.7877749736014565e-06,1.0000001218030206,1.815138339996338,1.8151363134384155,2.0265579223632812e-06,-2.0265579223632812e-06,0.019005775451660156,0.019003748893737793
