model,seed,step,torch_status,torch4ms_status,torch_loss,torch4ms_loss,loss_abs_diff,loss_rel_diff,torch_grad_norm,torch4ms_grad_norm,grad_norm_abs_diff,grad_norm_rel_diff,param_update_rel_l2,param_update_cosine
cnn,300,1,ok,ok,1.7791353464126587,1.7791353464126587,0.0,0.0,0.455242395401001,0.455242395401001,0.0,0.0,6.14264282723846e-07,0.9999999006108492
cnn,300,2,ok,ok,1.7985033988952637,1.7985033988952637,0.0,0.0,0.45984259247779846,0.4598425626754761,2.9802322387695312e-08,6.480983465909411e-08,5.36490935094633e-07,1.0000001038930402
cnn,300,3,ok,ok,1.7867379188537598,1.7867377996444702,1.1920928955078125e-07,6.671895653686983e-08,0.2865235209465027,0.2865235209465027,0.0,0.0,1.0350768684229877e-06,1.000000022661659
cnn,300,4,ok,ok,1.8136589527130127,1.8136589527130127,0.0,0.0,0.466134250164032,0.46613427996635437,2.9802322387695312e-08,6.393505834809328e-08,4.502365431520833e-07,1.000000182923504
cnn,300,5,ok,ok,1.8003966808319092,1.8003966808319092,0.0,0.0,0.4606854021549225,0.4606854021549225,0.0,0.0,8.396343426177062e-07,0.9999998667868456
cnn,300,6,ok,ok,1.7975610494613647,1.7975609302520752,1.1920928955078125e-07,6.631724112318859e-08,0.2937520742416382,0.2937520742416382,0.0,0.0,6.536777484219138e-07,1.0000001362195574
cnn,300,7,ok,ok,1.7942981719970703,1.7942981719970703,0.0,0.0,0.45967555046081543,0.45967555046081543,0.0,0.0,1.1649921337881856e-06,1.0000000761535455
cnn,300,8,ok,ok,1.7780218124389648,1.7780219316482544,1.1920928955078125e-07,6.70460175034356e-08,0.453966349363327,0.4539663791656494,2.9802322387695312e-08,6.564874350930872e-08,4.587346794779076e-07,0.9999999447581478
cnn,300,9,ok,ok,1.7829140424728394,1.7829139232635498,1.1920928955078125e-07,6.686205095195848e-08,0.45457133650779724,0.45457127690315247,5.960464477539063e-08,1.3112275233475534e-07,1.0645848589684992e-06,0.9999999868188837
cnn,300,10,ok,ok,1.8171653747558594,1.8171653747558594,0.0,0.0,0.5864900946617126,0.5864900946617126,0.0,0.0,7.101572938908005e-07,0.9999999587919394
cnn,300,11,ok,ok,1.794740915298462,1.7947406768798828,2.384185791015625e-07,1.328428950770947e-07,0.45893168449401855,0.45893165469169617,2.9802322387695312e-08,6.493847209645805e-08,3.0443311493980153e-07,0.9999999755938361
cnn,300,12,ok,ok,1.799041509628296,1.7990413904190063,1.1920928955078125e-07,6.626266759982172e-08,0.2938443720340729,0.2938443720340729,0.0,0.0,5.011341822195786e-07,1.0000000995645226
cnn,300,13,ok,ok,1.7849618196487427,1.7849618196487427,0.0,0.0,0.4558309316635132,0.4558309316635132,0.0,0.0,4.2131137361081987e-07,0.9999999403276607
cnn,300,14,ok,ok,1.7821834087371826,1.782183289527893,1.1920928955078125e-07,6.6889462086986e-08,0.284268856048584,0.2842688262462616,2.9802322387695312e-08,1.0483850676418046e-07,9.828746196066072e-07,1.0000000079509515
cnn,300,15,ok,ok,1.7903497219085693,1.790350317955017,5.960464477539062e-07,3.329216867650379e-07,0.4574064612388611,0.4574064612388611,0.0,0.0,1.0288531765401965e-06,1.0000000775054578
cnn,300,16,ok,ok,1.7795474529266357,1.7795473337173462,1.1920928955078125e-07,6.69885421457743e-08,0.4532020688056946,0.4532020688056946,0.0,0.0,5.436974156263512e-07,0.9999999679579894
cnn,300,17,ok,ok,1.7870852947235107,1.7870852947235107,0.0,0.0,0.2882246673107147,0.2882246673107147,0.0,0.0,1.0345014715134624e-06,1.0000000516634133
cnn,300,18,ok,ok,1.7804279327392578,1.7804293632507324,1.430511474609375e-06,8.034643239075363e-07,0.2863467037677765,0.2863467037677765,0.0,0.0,2.6985889661825346e-06,0.9999999075625953
cnn,300,19,ok,ok,1.8063304424285889,1.806331992149353,1.5497207641601562e-06,8.579379487799166e-07,0.5828862190246582,0.582886278629303,5.960464477539063e-08,1.0225775929321073e-07,1.4957684473527445e-06,0.9999999029613825
cnn,300,20,ok,ok,1.7874846458435059,1.7874853610992432,7.152557373046875e-07,4.0014634685725724e-07,0.2880485951900482,0.2880485951900482,0.0,0.0,1.8452928667175065e-06,1.000000065711027
cnn,300,21,ok,ok,1.7802188396453857,1.780219554901123,7.152557373046875e-07,4.01779508227239e-07,0.283456951379776,0.2834569811820984,2.9802322387695312e-08,1.0513878424659335e-07,1.7694012148833183e-06,1.0000000311573087
cnn,300,22,ok,ok,1.79691743850708,1.7969181537628174,7.152557373046875e-07,3.980458073768768e-07,0.29269590973854065,0.29269587993621826,2.9802322387695312e-08,1.0182008492813284e-07,2.1815782478823186e-06,0.9999999804233455
cnn,300,23,ok,ok,1.803227424621582,1.803228735923767,1.3113021850585938e-06,7.271968103296852e-07,0.4639885425567627,0.4639885723590851,2.9802322387695312e-08,6.423072498568137e-08,1.4930317955718262e-06,0.9999999949661397
cnn,300,24,ok,ok,1.781030535697937,1.7810335159301758,2.9802322387695312e-06,1.6733162021451646e-06,0.28407976031303406,0.28407979011535645,2.9802322387695312e-08,1.0490828078827243e-07,4.807672668209247e-06,0.9999998662030235
cnn,300,25,ok,ok,1.7805322408676147,1.780535101890564,2.86102294921875e-06,1.6068332189468935e-06,0.2833675146102905,0.2833675444126129,2.9802322387695312e-08,1.0517196826288616e-07,4.450013801361892e-06,0.9999998795107206
cnn,300,26,ok,ok,1.781514286994934,1.7815170288085938,2.7418136596679688e-06,1.5390330910850638e-06,0.45409610867500305,0.45409610867500305,0.0,0.0,2.7022061742267756e-06,0.9999999506763553
